serial_number,model,date,failure_probability,actual_failure_7d
ZCH059QH,ST12000NM0007,2020-06-30,0.96381307,0
ZJV1CGTX,ST12000NM0007,2020-06-30,0.9637738,0
ZCH0D2BE,ST12000NM0007,2020-06-30,0.9636993,0
ZCH0BNB1,ST12000NM0007,2020-06-30,0.9636993,0
AAG6XU7H,HGST HUH721212ALN604,2020-05-23,0.9636705,1
ZA216ZBL,ST10000NM0086,2020-06-30,0.9636201,0
ZA142SJ8,ST8000DM002,2020-06-30,0.9634704,0
ZA217YM3,ST10000NM0086,2020-06-30,0.96338207,0
ZCH0BZQP,ST12000NM0007,2020-06-30,0.9632757,0
Z305LTLE,ST4000DM000,2020-06-30,0.9632551,0
Z305ALXV,ST4000DM000,2020-06-30,0.9632493,0
